suite	backend	ref	commit	toolchain	repeat	file	proof	vc	goal_hash	status	category	milliseconds	message	goal
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	2825169037077011539	2825169037077011539	pass	-	96	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	14810769858554953377	14810769858554953377	pass	-	92	-	balance ≥ ↑tmp.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	14833385480787993856	14833385480787993856	pass	-	92	-	¬tmp.nonEmpty
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	8275436438937433806	8275436438937433806	pass	-	60	-	x ≥ ↑amounts.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	15214630116673553496	15214630116673553496	fail	tactic	185	backend returned without closing the goal	i + ↑amounts.sum = balanceOld
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	684110104125275636	684110104125275636	pass	-	161	-	i ≥ 0
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	10455387604875970312	10455387604875970312	fail	tactic	84	backend returned without closing the goal	∃ h, ↑h.sum ≤ x
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	12346872860079934512	12346872860079934512	fail	tactic	169	backend returned without closing the goal	False
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	9920644537135092340	9920644537135092340	fail	tactic	194	backend returned without closing the goal	balance - ↑tmp.head! + ↑i_1.sum = x + ↑tmp.tail.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	2592897230707726799	2592897230707726799	fail	tactic	180	backend returned without closing the goal	tmp.tail.length < tmp.length
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	8954427794409453576	8954427794409453576	pass	-	100	-	balance + ↑i_1.sum = x + ↑tmp.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	14833385480787993856	14833385480787993856	pass	-	99	-	¬tmp.nonEmpty
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	5928940248694370277	5928940248694370277	fail	tactic	206	backend returned without closing the goal	i_3 + ↑i_1.sum = balanceOld
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	12566989642252477834	12566989642252477834	pass	-	165	-	i_3 ≥ 0
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	9427426964918022923	9427426964918022923	fail	tactic	2	backend returned without closing the goal	True
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	1587904245978985587	1587904245978985587	pass	-	162	-	balance - ↑amounts.head! ≥ 0
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	12290697138917920290	12290697138917920290	fail	tactic	177	backend returned without closing the goal	balance - ↑amounts.head! < ↑amounts.tail.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	6449264834289021715	6449264834289021715	fail	tactic	168	backend returned without closing the goal	amounts.tail.length < amounts.length
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	11664442347342473650	11664442347342473650	pass	-	111	-	balance ≥ 0
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	6579164554781296205	6579164554781296205	pass	-	112	-	balance < ↑amounts.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	7126761714196821540	7126761714196821540	pass	-	111	-	¬amounts.nonEmpty
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	2232656262363782188	2232656262363782188	pass	-	58	-	x ≥ 0
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	15183118018364320695	15183118018364320695	fail	tactic	92	backend returned without closing the goal	∃ x_1, x < ↑x_1.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	12346872860079934512	12346872860079934512	fail	tactic	211	backend returned without closing the goal	False
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdraw_correct	1631738648950044227	1631738648950044227	pass	-	174	-	x - ↑amount + ↑amount = balanceOld
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	11756138257855701010	11756138257855701010	pass	-	340	-	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	2825169037077011539	2825169037077011539	pass	-	3	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	14833385480787993856	14833385480787993856	pass	-	3	-	¬tmp.nonEmpty
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	15214630116673553496	15214630116673553496	pass	-	248	-	i + ↑amounts.sum = balanceOld
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	11756138257855701010	11756138257855701010	pass	-	339	-	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	2592897230707726799	2592897230707726799	pass	-	3	-	tmp.tail.length < tmp.length
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	2825169037077011539	2825169037077011539	pass	-	2	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	14833385480787993856	14833385480787993856	pass	-	3	-	¬tmp.nonEmpty
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	15214630116673553496	15214630116673553496	pass	-	287	-	i + ↑amounts.sum = balanceOld
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	12346872860079934512	12346872860079934512	pass	-	307	-	False
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	11756138257855701010	11756138257855701010	pass	-	345	-	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	12800241106604992563	12800241106604992563	pass	-	295	-	balance - ↑tmp.head! ≥ ↑tmp.tail.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	2592897230707726799	2592897230707726799	pass	-	6	-	tmp.tail.length < tmp.length
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	2825169037077011539	2825169037077011539	pass	-	3	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	14810769858554953377	14810769858554953377	pass	-	2	-	balance ≥ ↑tmp.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	14833385480787993856	14833385480787993856	pass	-	3	-	¬tmp.nonEmpty
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	8275436438937433806	8275436438937433806	pass	-	1	-	x ≥ ↑amounts.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	15214630116673553496	15214630116673553496	pass	-	239	-	i + ↑amounts.sum = balanceOld
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	684110104125275636	684110104125275636	pass	-	230	-	i ≥ 0
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	10455387604875970312	10455387604875970312	pass	-	10	-	∃ h, ↑h.sum ≤ x
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	12346872860079934512	12346872860079934512	pass	-	351	-	False
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	9920644537135092340	9920644537135092340	pass	-	416	-	balance - ↑tmp.head! + ↑i_1.sum = x + ↑tmp.tail.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	2592897230707726799	2592897230707726799	pass	-	5	-	tmp.tail.length < tmp.length
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	8954427794409453576	8954427794409453576	pass	-	2	-	balance + ↑i_1.sum = x + ↑tmp.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	14833385480787993856	14833385480787993856	pass	-	3	-	¬tmp.nonEmpty
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	5928940248694370277	5928940248694370277	pass	-	321	-	i_3 + ↑i_1.sum = balanceOld
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionNonDet_correct	12566989642252477834	12566989642252477834	pass	-	293	-	i_3 ≥ 0
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	9427426964918022923	9427426964918022923	pass	-	2	-	True
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	1587904245978985587	1587904245978985587	pass	-	599	-	balance - ↑amounts.head! ≥ 0
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	12290697138917920290	12290697138917920290	pass	-	635	-	balance - ↑amounts.head! < ↑amounts.tail.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	6449264834289021715	6449264834289021715	pass	-	6	-	amounts.tail.length < amounts.length
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	11664442347342473650	11664442347342473650	pass	-	2	-	balance ≥ 0
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	6579164554781296205	6579164554781296205	pass	-	2	-	balance < ↑amounts.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	7126761714196821540	7126761714196821540	pass	-	2	-	¬amounts.nonEmpty
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	2232656262363782188	2232656262363782188	pass	-	244	-	x ≥ 0
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	15183118018364320695	15183118018364320695	pass	-	301	-	∃ x_1, x < ↑x_1.sum
cashmere	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	withdrawSessionAngelic_correct	12346872860079934512	12346872860079934512	pass	-	456	-	False
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	4325354716326072573	4325354716326072573	pass	-	272	-	0 ≤ i + 1 ∧ i + 1 ≤ encoded_str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	3233717574493770211	3233717574493770211	fail	tactic	301	backend returned without closing the goal	(decoded ++ Array.replicate encoded_str[i]!.cnt encoded_str[i]!.c).size =   get_cnt_sum (encoded_str.extract 0 (i + 1)).toList
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	14557075163885871591	14557075163885871591	pass	-	148	-	0 ≤ i ∧ i ≤ encoded_str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	6384732382134649439	6384732382134649439	pass	-	143	-	decoded.size = get_cnt_sum (encoded_str.extract 0 i).toList
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	13851523499043008614	13851523499043008614	pass	-	142	-	i = encoded_str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	8816666150414203262	8816666150414203262	pass	-	93	-	0 ≤ 0 ∧ 0 ≤ encoded_str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	7432640679462075544	7432640679462075544	fail	tactic	156	backend returned without closing the goal	(Array.replicate 0 'x').size = get_cnt_sum (encoded_str.extract 0 0).toList
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	decodeStr'_correct	9639754685172097330	9639754685172097330	fail	tactic	249	backend returned without closing the goal	i_1.size = get_cnt_sum encoded_str.toList
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	10203002127808532242	10203002127808532242	pass	-	236	-	i < j + 1 ∧ j + 1 ≤ str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	15527439877898811686	15527439877898811686	fail	tactic	274	backend returned without closing the goal	∀ (k : ℕ), i ≤ k → k < j + 1 → str[k]! = str[i]!
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	4253526900314070824	4253526900314070824	pass	-	210	-	i < j ∧ j ≤ str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	17087698223479619887	17087698223479619887	pass	-	222	-	∀ (k : ℕ), i ≤ k → k < j → str[k]! = str[i]!
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	13168721855841554394	13168721855841554394	pass	-	225	-	¬(j < str.size ∧ (str[j]! == str[i]!) = true)
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	8050235650381385355	8050235650381385355	pass	-	179	-	i < i + 1 ∧ i + 1 ≤ str.size
velvet	auto	origin/master	d254391d5e84546f96576e5b67dfb6bafe9fc301	leanprover/lean4:v4.24.0	1	Velvet/Examples/EncodeDecodeStr.lean	encodeStr_correct	3874562368415809942	3874562368415809942	pass	-	189	-	∀ (k : ℕ), i ≤ k → k < i + 1 → str[k]! = str[i]!
