suite	lane	repeat	vc_key	declaration	goal_hash	outcome	replay	detail	total_nanos	phases	metrics
loom	crush-alethe	1	LoomBackend.lean|_example|773944412226978707	_example	10692569989160547002	alethe-reconstructed	success	Alethe certificate replay succeeded	3846650291	collect=120458,normalize=51917,monomorphize=18125,instantiate=27625,translate=1492375,solve=78809916,replay=3766129875	certificate_commands=512,certificate_assumes=34,certificate_steps=462,certificate_anchors=16,certificate_sexp_nodes=8765,certificate_bytes=42000
loom	crush-alethe	1	LoomBackend.lean|_example|11766715760782255510	_example	11766715760782255510	alethe-reconstructed	success	Alethe certificate replay succeeded	112459042	collect=109750,normalize=174167,monomorphize=11792,instantiate=27209,translate=1070916,solve=31372667,replay=79692541	certificate_commands=16,certificate_assumes=3,certificate_steps=13,certificate_anchors=0,certificate_sexp_nodes=282,certificate_bytes=1231
loom	crush-portfolio	1	LoomBackend.lean|_example|16574041739855843339	_example	16574041739855843339	alethe-reconstructed	success	Alethe certificate replay succeeded	125820168	collect=492250,pre-reconstruct=3054125,normalize=367000,monomorphize=92625,instantiate=218250,translate=4652667,solve=33621834,replay=83321417	certificate_commands=14,certificate_assumes=2,certificate_steps=12,certificate_anchors=0,certificate_sexp_nodes=252,certificate_bytes=1112
loom	crush-portfolio	1	LoomBackend.lean|_example|17176297989995940323	_example	3183364163658682212	alethe-reconstructed	success	Alethe certificate replay succeeded	8613605416	collect=531458,pre-reconstruct=2577750,normalize=1360291,monomorphize=18917,instantiate=28250,translate=2179791,solve=107333750,replay=8499575209	certificate_commands=673,certificate_assumes=42,certificate_steps=613,certificate_anchors=18,certificate_sexp_nodes=10551,certificate_bytes=51991
loom	crush-portfolio	1	LoomBackend.lean|_example|773944412226978707	_example	10692569989160547002	alethe-reconstructed	success	Alethe certificate replay succeeded	3902128250	collect=118167,pre-reconstruct=937375,normalize=51667,monomorphize=15333,instantiate=27500,translate=1500792,solve=93026458,replay=3806450958	certificate_commands=512,certificate_assumes=34,certificate_steps=462,certificate_anchors=16,certificate_sexp_nodes=8765,certificate_bytes=42000
loom	crush-portfolio	1	LoomBackend.lean|_example|11766715760782255510	_example	11766715760782255510	alethe-reconstructed	success	Alethe certificate replay succeeded	124094334	collect=109458,pre-reconstruct=1851792,normalize=232875,monomorphize=13834,instantiate=27333,translate=1154583,solve=41559250,replay=79145209	certificate_commands=16,certificate_assumes=3,certificate_steps=13,certificate_anchors=0,certificate_sexp_nodes=282,certificate_bytes=1231
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdraw_correct|1631738648950044227	withdraw_correct	1631738648950044227	verified	not-requested	solver returned unsat; closed under the trust policy	95808041	collect=798666,pre-reconstruct=3633959,normalize=1631458,monomorphize=109083,instantiate=16219500,translate=13975167,solve=59440208	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|11756138257855701010	withdrawSession_correct	11756138257855701010	verified	not-requested	solver returned unsat; closed under the trust policy	264453044	collect=204167,pre-reconstruct=26192459,normalize=1088167,monomorphize=26917,instantiate=182917959,translate=12753500,solve=41269875	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|14833385480787993856	withdrawSession_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	176875	collect=176875	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|15214630116673553496	withdrawSession_correct	15214630116673553496	verified	not-requested	solver returned unsat; closed under the trust policy	162769167	collect=277250,pre-reconstruct=2333042,normalize=2849375,monomorphize=22875,instantiate=108194125,translate=10223667,solve=38868833	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|11756138257855701010	withdrawSessionTot_correct	11756138257855701010	verified	not-requested	solver returned unsat; closed under the trust policy	268657250	collect=193417,pre-reconstruct=24199833,normalize=1095042,monomorphize=20500,instantiate=189298375,translate=12152500,solve=41697583	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|2592897230707726799	withdrawSessionTot_correct	2592897230707726799	verified	not-requested	solver returned unsat; closed under the trust policy	201025584	collect=188584,pre-reconstruct=116250,normalize=869583,monomorphize=20375,instantiate=146665208,translate=10545584,solve=42620000	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|14833385480787993856	withdrawSessionTot_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	183792	collect=183792	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|15214630116673553496	withdrawSessionTot_correct	15214630116673553496	verified	not-requested	solver returned unsat; closed under the trust policy	152661166	collect=183417,pre-reconstruct=1612083,normalize=1014292,monomorphize=19500,instantiate=108299250,translate=9770208,solve=31762416	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|12346872860079934512	withdrawSessionExcept_correct	12346872860079934512	verified	not-requested	solver returned unsat; closed under the trust policy	183386334	collect=1608459,pre-reconstruct=277166,normalize=1736417,monomorphize=21334,instantiate=134826250,translate=10452000,solve=34464708	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|11756138257855701010	withdrawSessionExcept_correct	11756138257855701010	verified	not-requested	solver returned unsat; closed under the trust policy	254719501	collect=262167,pre-reconstruct=27367375,normalize=1948459,monomorphize=22084,instantiate=172231208,translate=12128500,solve=40759708	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|12800241106604992563	withdrawSessionExcept_correct	12800241106604992563	verified	not-requested	solver returned unsat; closed under the trust policy	213358333	collect=253083,pre-reconstruct=132334,normalize=2040125,monomorphize=21958,instantiate=163118125,translate=11060625,solve=36732083	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|2592897230707726799	withdrawSessionExcept_correct	2592897230707726799	verified	not-requested	solver returned unsat; closed under the trust policy	184684041	collect=249083,pre-reconstruct=126334,normalize=1726708,monomorphize=19875,instantiate=134448583,translate=10305125,solve=37808333	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|14833385480787993856	withdrawSessionExcept_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	247500	collect=247500	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|15214630116673553496	withdrawSessionExcept_correct	15214630116673553496	verified	not-requested	solver returned unsat; closed under the trust policy	151362417	collect=218000,pre-reconstruct=1774875,normalize=1539583,monomorphize=21083,instantiate=100694709,translate=9629458,solve=37484709	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|684110104125275636	withdrawSessionExcept_correct	684110104125275636	verified	not-requested	solver returned unsat; closed under the trust policy	148599334	collect=245000,pre-reconstruct=129125,normalize=1520083,monomorphize=20792,instantiate=102151959,translate=9435875,solve=35096500	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|10455387604875970312	withdrawSessionNonDet_correct	10455387604875970312	pre-reconstructed	not-attempted	closed before SMT translation	1076727667	collect=1303250,pre-reconstruct=1075424417	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|12346872860079934512	withdrawSessionNonDet_correct	12346872860079934512	verified	not-requested	solver returned unsat; closed under the trust policy	205877875	collect=443958,pre-reconstruct=130292,normalize=1594375,monomorphize=21208,instantiate=151703209,translate=10875833,solve=41109000	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|9920644537135092340	withdrawSessionNonDet_correct	9920644537135092340	verified	not-requested	solver returned unsat; closed under the trust policy	277789251	collect=286375,pre-reconstruct=26184750,normalize=1857333,monomorphize=22292,instantiate=192796292,translate=12986209,solve=43656000	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|2592897230707726799	withdrawSessionNonDet_correct	2592897230707726799	verified	not-requested	solver returned unsat; closed under the trust policy	230171374	collect=279125,pre-reconstruct=128125,normalize=1690666,monomorphize=20708,instantiate=177880625,translate=12145250,solve=38026875	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|14833385480787993856	withdrawSessionNonDet_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	252958	collect=252958	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|5928940248694370277	withdrawSessionNonDet_correct	5928940248694370277	verified	not-requested	solver returned unsat; closed under the trust policy	198999542	collect=202625,pre-reconstruct=1796042,normalize=1488833,monomorphize=21375,instantiate=143965000,translate=11233417,solve=40292250	
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|12566989642252477834	withdrawSessionNonDet_correct	12566989642252477834	verified	not-requested	solver returned unsat; closed under the trust policy	189388207	collect=257667,pre-reconstruct=130916,normalize=1426708,monomorphize=21375,instantiate=139308041,translate=11224708,solve=37018792	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|1587904245978985587	withdrawSessionAngelic_correct	1587904245978985587	verified	not-requested	solver returned unsat; closed under the trust policy	486801418	collect=1776709,pre-reconstruct=648583,normalize=2383375,monomorphize=102084,instantiate=390232917,translate=49255208,solve=42402542	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|12290697138917920290	withdrawSessionAngelic_correct	12290697138917920290	verified	not-requested	solver returned unsat; closed under the trust policy	490259500	collect=242500,pre-reconstruct=140542,normalize=1709541,monomorphize=21625,instantiate=395390292,translate=50583667,solve=42171333	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|6449264834289021715	withdrawSessionAngelic_correct	6449264834289021715	verified	not-requested	solver returned unsat; closed under the trust policy	386244750	collect=241291,pre-reconstruct=135667,normalize=1622709,monomorphize=22666,instantiate=302340625,translate=36057125,solve=45824667	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|7126761714196821540	withdrawSessionAngelic_correct	7126761714196821540	selected-fact	not-attempted	closed from a selected Lean fact	237542	collect=237542	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|2232656262363782188	withdrawSessionAngelic_correct	2232656262363782188	verified	not-requested	solver returned unsat; closed under the trust policy	181826585	collect=177125,pre-reconstruct=124417,normalize=1278375,monomorphize=19917,instantiate=122254084,translate=16599125,solve=41373542	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|15183118018364320695	withdrawSessionAngelic_correct	15183118018364320695	verified	not-requested	solver returned unsat; closed under the trust policy	213643750	collect=224208,pre-reconstruct=17754542,normalize=1163833,monomorphize=25167,instantiate=122126167,translate=17672833,solve=54677000	
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|12346872860079934512	withdrawSessionAngelic_correct	12346872860079934512	verified	not-requested	solver returned unsat; closed under the trust policy	356272083	collect=239625,pre-reconstruct=122583,normalize=1368375,monomorphize=22125,instantiate=283919625,translate=33682208,solve=36917542	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdraw_correct|1631738648950044227	withdraw_correct	1631738648950044227	core-reconstructed	not-attempted	core-directed reconstruction succeeded	87359082	collect=717250,pre-reconstruct=4947125,normalize=1668250,monomorphize=104375,instantiate=14378208,translate=12530500,solve=40560083,replay=42041,reconstruct=12411250	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|11756138257855701010	withdrawSession_correct	11756138257855701010	core-reconstructed	not-attempted	core-directed reconstruction succeeded	313109125	collect=202791,pre-reconstruct=25423292,normalize=1093500,monomorphize=21667,instantiate=179407167,translate=12087334,solve=61610792,replay=5416,reconstruct=33257166	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|14833385480787993856	withdrawSession_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	163541	collect=163541	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|15214630116673553496	withdrawSession_correct	15214630116673553496	core-reconstructed	not-attempted	core-directed reconstruction succeeded	167144291	collect=167583,pre-reconstruct=2275958,normalize=990833,monomorphize=19041,instantiate=96120584,translate=9297250,solve=39047750,replay=4333,reconstruct=19220959	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|11756138257855701010	withdrawSessionTot_correct	11756138257855701010	core-reconstructed	not-attempted	core-directed reconstruction succeeded	506197374	collect=197167,pre-reconstruct=24887333,normalize=1084333,monomorphize=20750,instantiate=181293041,translate=12392125,solve=40644125,replay=8083,reconstruct=245670417	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|2592897230707726799	withdrawSessionTot_correct	2592897230707726799	pre-reconstructed	not-attempted	closed before SMT translation	1063375	collect=191958,pre-reconstruct=871417	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|14833385480787993856	withdrawSessionTot_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	115709	collect=115709	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|15214630116673553496	withdrawSessionTot_correct	15214630116673553496	core-reconstructed	not-attempted	core-directed reconstruction succeeded	166719502	collect=121250,pre-reconstruct=2182875,normalize=974084,monomorphize=18334,instantiate=96432125,translate=9082084,solve=37674458,replay=3917,reconstruct=20230375	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|12346872860079934512	withdrawSessionExcept_correct	12346872860079934512	core-reconstructed	not-attempted	core-directed reconstruction succeeded	632319043	collect=1369292,pre-reconstruct=683625,normalize=1727584,monomorphize=22042,instantiate=131741416,translate=10373375,solve=38941459,replay=3833,reconstruct=447456417	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|11756138257855701010	withdrawSessionExcept_correct	11756138257855701010	core-reconstructed	not-attempted	core-directed reconstruction succeeded	248504707	collect=232958,pre-reconstruct=26067000,normalize=1785333,monomorphize=21000,instantiate=145063708,translate=11240083,solve=38730000,replay=4833,reconstruct=25359792	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|12800241106604992563	withdrawSessionExcept_correct	12800241106604992563	core-reconstructed	not-attempted	core-directed reconstruction succeeded	214061666	collect=263916,pre-reconstruct=673125,normalize=2008958,monomorphize=19958,instantiate=143993750,translate=10783583,solve=32663500,replay=4459,reconstruct=23650417	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|2592897230707726799	withdrawSessionExcept_correct	2592897230707726799	pre-reconstructed	not-attempted	closed before SMT translation	1068666	collect=233916,pre-reconstruct=834750	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|14833385480787993856	withdrawSessionExcept_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	170333	collect=170333	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|15214630116673553496	withdrawSessionExcept_correct	15214630116673553496	core-reconstructed	not-attempted	core-directed reconstruction succeeded	171439248	collect=178875,pre-reconstruct=2484417,normalize=1472208,monomorphize=20333,instantiate=97903083,translate=9584041,solve=39185000,replay=4708,reconstruct=20606583	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|684110104125275636	withdrawSessionExcept_correct	684110104125275636	core-reconstructed	not-attempted	core-directed reconstruction succeeded	163238250	collect=227750,pre-reconstruct=621625,normalize=1428834,monomorphize=19958,instantiate=96159708,translate=9388042,solve=38984083,replay=3750,reconstruct=16404500	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|10455387604875970312	withdrawSessionNonDet_correct	10455387604875970312	pre-reconstructed	not-attempted	closed before SMT translation	1359912543	collect=1280584,pre-reconstruct=1358631959	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|12346872860079934512	withdrawSessionNonDet_correct	12346872860079934512	core-reconstructed	not-attempted	core-directed reconstruction succeeded	226437668	collect=420208,pre-reconstruct=549125,normalize=1548083,monomorphize=22542,instantiate=146971792,translate=10595250,solve=38695750,replay=3959,reconstruct=27630959	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|9920644537135092340	withdrawSessionNonDet_correct	9920644537135092340	core-reconstructed	not-attempted	core-directed reconstruction succeeded	285984085	collect=264583,pre-reconstruct=25907875,normalize=1701667,monomorphize=22209,instantiate=184763958,translate=12966709,solve=33591292,replay=4375,reconstruct=26761417	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|2592897230707726799	withdrawSessionNonDet_correct	2592897230707726799	pre-reconstructed	not-attempted	closed before SMT translation	1090916	collect=237666,pre-reconstruct=853250	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|14833385480787993856	withdrawSessionNonDet_correct	14833385480787993856	selected-fact	not-attempted	closed from a selected Lean fact	163541	collect=163541	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|5928940248694370277	withdrawSessionNonDet_correct	5928940248694370277	core-reconstructed	not-attempted	core-directed reconstruction succeeded	212223500	collect=154792,pre-reconstruct=2317375,normalize=1397125,monomorphize=21541,instantiate=138334542,translate=11131667,solve=38652458,replay=4416,reconstruct=20209584	
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionNonDet_correct|12566989642252477834	withdrawSessionNonDet_correct	12566989642252477834	core-reconstructed	not-attempted	core-directed reconstruction succeeded	206437169	collect=229542,pre-reconstruct=618709,normalize=1322292,monomorphize=20584,instantiate=132655167,translate=10858958,solve=39925417,replay=4375,reconstruct=20802125	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|1587904245978985587	withdrawSessionAngelic_correct	1587904245978985587	core-reconstructed	not-attempted	core-directed reconstruction succeeded	492760457	collect=1687667,pre-reconstruct=2860792,normalize=2363250,monomorphize=103125,instantiate=379432791,translate=47699833,solve=41005000,replay=26333,reconstruct=17581666	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|12290697138917920290	withdrawSessionAngelic_correct	12290697138917920290	core-reconstructed	not-attempted	core-directed reconstruction succeeded	507610210	collect=233042,pre-reconstruct=11132375,normalize=1727917,monomorphize=22125,instantiate=385302125,translate=49544500,solve=33662417,replay=4667,reconstruct=25981042	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|6449264834289021715	withdrawSessionAngelic_correct	6449264834289021715	pre-reconstructed	not-attempted	closed before SMT translation	1280126	collect=225709,pre-reconstruct=1054417	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|7126761714196821540	withdrawSessionAngelic_correct	7126761714196821540	selected-fact	not-attempted	closed from a selected Lean fact	198333	collect=198333	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|2232656262363782188	withdrawSessionAngelic_correct	2232656262363782188	core-reconstructed	not-attempted	core-directed reconstruction succeeded	186024666	collect=136208,pre-reconstruct=975041,normalize=1259792,monomorphize=20583,instantiate=116914125,translate=16158959,solve=39081042,replay=3833,reconstruct=11475083	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|15183118018364320695	withdrawSessionAngelic_correct	15183118018364320695	core-reconstructed	not-attempted	core-directed reconstruction succeeded	244887375	collect=214708,pre-reconstruct=15951459,normalize=1101875,monomorphize=19875,instantiate=117077542,translate=16352041,solve=48491958,replay=4417,reconstruct=45673500	
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean|withdrawSessionAngelic_correct|12346872860079934512	withdrawSessionAngelic_correct	12346872860079934512	core-reconstructed	not-attempted	core-directed reconstruction succeeded	383431750	collect=227167,pre-reconstruct=558208,normalize=1312292,monomorphize=21000,instantiate=275877667,translate=32484292,solve=54801250,replay=4708,reconstruct=18145166	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdraw_correct|1631738648950044227	withdraw_correct	1631738648950044227	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	64505832	collect=679916,normalize=1673417,monomorphize=105833,instantiate=13756125,translate=12526125,solve=35625250,replay=139166	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|11756138257855701010	withdrawSession_correct	11756138257855701010	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	229914667	collect=200542,normalize=1055208,monomorphize=20416,instantiate=177611542,translate=11866000,solve=39146959,replay=14000	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|14833385480787993856	withdrawSession_correct	14833385480787993856	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	177848292	collect=186417,normalize=819375,monomorphize=20625,instantiate=127535958,translate=9526042,solve=39744125,replay=15750	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSession_correct|15214630116673553496	withdrawSession_correct	15214630116673553496	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	173873749	collect=190500,normalize=979833,monomorphize=20583,instantiate=128055541,translate=11512542,solve=33101500,replay=13250	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|11756138257855701010	withdrawSessionTot_correct	11756138257855701010	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	225697669	collect=191875,normalize=1058584,monomorphize=20542,instantiate=179091500,translate=11593459,solve=33727417,replay=14292	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|2592897230707726799	withdrawSessionTot_correct	2592897230707726799	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	228841415	collect=171792,normalize=861208,monomorphize=19958,instantiate=176557083,translate=10848916,solve=40366208,replay=16250	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|14833385480787993856	withdrawSessionTot_correct	14833385480787993856	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	180574333	collect=177541,normalize=857416,monomorphize=20500,instantiate=134002125,translate=9664875,solve=35837334,replay=14542	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionTot_correct|15214630116673553496	withdrawSessionTot_correct	15214630116673553496	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	166880542	collect=199167,normalize=975500,monomorphize=21083,instantiate=121025125,translate=9811792,solve=34832042,replay=15833	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|12346872860079934512	withdrawSessionExcept_correct	12346872860079934512	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	191391875	collect=1522209,normalize=1771416,monomorphize=25084,instantiate=133754583,translate=10868458,solve=43436333,replay=13792	
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean|withdrawSessionExcept_correct|11756138257855701010	withdrawSessionExcept_correct	11756138257855701010	reconstruction-failed	certificate-error	Proof unsupported by Alethe: contains operator DUMMY_SKOLEM	240381707	collect=516500,normalize=2025583,monomorphize=24958,instantiate=188759792,translate=12937583,solve=36101500,replay=15791	
